label,threshold,mean_grad,high_grad_count,dispersion,low_value_ratio,extreme_std_score,contrast_entropy,band_only_accuracy
0,0.8,0.792,0.108,0.127,1.0,0.99,0.347,0.894
0,0.8,0.0,0.0,0.0,1.0,0.469,1.0,0.838
0,0.8,1.0,0.048,0.286,1.0,0.432,0.499,0.927
0,0.8,0.0,0.0,0.0,1.0,0.289,0.06,0.91
0,0.8,0.756,0.458,0.511,1.0,0.131,0.775,0.944
0,0.8,0.0,0.0,0.0,1.0,0.0,0.66,0.945
0,0.9,0.0,0.0,0.0,1.0,1.0,0.284,0.78
0,0.9,0.0,0.0,0.0,1.0,0.991,0.532,0.893
0,0.9,0.629,1.0,1.0,1.0,0.958,0.566,0.91
0,0.9,0.0,0.0,0.0,0.0,0.883,0.116,0.913
0,0.9,0.0,0.0,0.0,1.0,0.688,0.0,0.832
0,0.9,0.401,0.054,0.058,1.0,0.99,0.347,0.894
0,0.9,0.0,0.0,0.0,1.0,0.469,1.0,0.838
0,0.9,1.0,0.018,0.0,1.0,0.432,0.499,0.927
0,0.9,0.0,0.0,0.0,1.0,0.289,0.06,0.91
0,0.9,0.586,0.286,0.352,1.0,0.131,0.775,0.944
0,0.9,0.0,0.0,0.0,1.0,0.0,0.66,0.945
0,1,0.0,0.0,0.0,1.0,1.0,0.284,0.78
0,1,0.0,0.0,0.0,1.0,0.991,0.532,0.893
0,1,0.787,1.0,1.0,1.0,0.958,0.566,0.91
0,1,0.0,0.0,0.0,0.0,0.883,0.116,0.913
0,1,0.0,0.0,0.0,1.0,0.688,0.0,0.832
0,1,0.416,0.027,0.0,1.0,0.99,0.347,0.894
0,1,0.0,0.0,0.0,1.0,0.469,1.0,0.838
0,1,0.0,0.0,0.0,1.0,0.432,0.499,0.927
0,1,0.0,0.0,0.0,1.0,0.289,0.06,0.91
0,1,1.0,0.27,0.326,1.0,0.131,0.775,0.944
0,1,0.0,0.0,0.0,1.0,0.0,0.66,0.945
0,0,0.318,0.669,0.435,0.0,0.744,0.478,0.78
0,0,0.767,0.207,0.0,0.0,1.0,0.511,0.893
0,0,1.0,0.764,1.0,0.0,0.826,1.0,0.91
0,0,0.243,0.066,0.098,0.0,0.356,0.235,0.913
0,0,0.269,0.0,0.114,0.0,0.07,0.199,0.832
0,0,0.313,0.067,0.138,0.0,0.695,0.264,0.894
0,0,0.937,0.694,0.345,0.0,0.353,0.836,0.838
0,0,0.295,0.231,0.538,0.0,0.324,0.362,0.927
0,0,0.179,0.173,0.167,0.0,0.204,0.187,0.91
0,0,0.0,0.028,0.307,0.0,0.134,0.0,0.944
0,0,0.419,1.0,0.662,0.0,0.0,0.649,0.945
0,0.1,0.76,0.189,0.0,0.0,0.744,0.478,0.78
0,0.1,1.0,0.318,0.1,0.0,1.0,0.511,0.893
0,0.1,0.962,1.0,1.0,0.0,0.826,1.0,0.91
0,0.1,0.238,0.26,0.155,0.0,0.356,0.235,0.913
0,0.1,0.267,0.266,0.184,0.0,0.07,0.199,0.832
0,0.1,0.404,0.195,0.113,0.0,0.695,0.264,0.894
0,0.1,0.972,0.877,0.471,0.0,0.353,0.836,0.838
0,0.1,0.248,0.446,0.509,0.0,0.324,0.362,0.927
0,0.1,0.301,0.156,0.053,0.0,0.204,0.187,0.91
0,0.1,0.0,0.0,0.005,0.0,0.134,0.0,0.944
0,0.1,0.725,0.556,0.255,0.0,0.0,0.649,0.945
0,0.2,0.761,0.099,0.042,0.0,0.744,0.478,0.78
0,0.2,1.0,0.196,0.114,0.0,1.0,0.511,0.893
